"labels","$M_{1,1}$","$M_{1,2}$","$M_{1,3}$","$M_{1,4}$","$M_{1,5}$","$M_{1,6}$","$M_{2,1}$","$M_{2,2}$","$M_{2,3}$","$M_{2,4}$","$M_{2,5}$","$M_{2,6}$","$M_{3,1}$","$M_{3,2}$","$M_{3,3}$","$M_{3,4}$","$M_{3,5}$","$M_{3,6}$","$M_{4,1}$","$M_{4,2}$","$M_{4,3}$","$M_{4,4}$","$M_{4,5}$","$M_{4,6}$","$M_{5,1}$","$M_{5,2}$","$M_{5,3}$","$M_{5,4}$","$M_{5,5}$","$M_{5,6}$","$M_{6,1}$","$M_{6,2}$","$M_{6,3}$","$M_{6,4}$","$M_{6,5}$","$M_{6,6}$"
"daymodel122-2017-may-04",0,0.006,1,0.25,0.37,0,0,0.011,0.25,0,0,0.57,0.018,0.016,0.34,0,0,0.84,0,0.018,0,0.56,0.84,0.22,0,0,0.7,0.75,0.083,0.066,0,0,0,0,0,0
"daymodel165-2017-jun-16",0,0.00091,1,0.29,0.058,0,0,0.001,0.35,0,0,0.071,0.003,0.00082,0.047,0,0,0.58,0,0.003,0,0.14,0.81,0.3,0,0,0.087,0.089,0.025,0.015,0,0,0,0,0,0
"daymodel210-2017-jul-31",0,0.013,0.87,0.31,0.45,0,0,0.015,0.22,0,0,0.7,0.026,0.014,0.42,0,0,1,0,0.026,0,0.68,0.87,0.22,0,0,0.86,0.97,0.21,0.13,0,0,0,0,0,0
"simulation",0,0,0.99,1,0.0078,0,0,0,0.95,0,0,0.14,0,0,0.094,0,0,0.85,0,0,0,0.26,0.96,0.89,0,0,0.21,0.14,0.018,0.0026,0,0,0,0,0,0	
