;A;B;C;China;D;E;F;G;H;I;J;K;Hard Fork PIB 148 Activation
0;2016-05-25;2016-06-10;2016-06-20;2017-09-12;2016-07-01;2016-12-20;2017-01-01;2017-01-05;2017-05-25;2017-07-13;2017-07-16;2017-08-03;2017-08-01
1;2016-05-30;2016-06-17;2016-06-23;2017-09-15;2016-08-03;2016-12-24;2017-01-05;2017-01-12;2017-05-27;2017-07-16;2017-07-21;2017-08-14;2017-08-01
